DATE,AAPL US Equity,GOOG US Equity,MSFT US Equity,IBM US Equity,GE US Equity,UKX Index,SPX Index,SPTSX Index,DJI Index,DAX Index
2000-07-25,3.4777,#N/A N/A,35.2813,112.5,51.9076,6381.3,1464.29,10783.48,10685.12,7328.31
2000-07-26,3.5759,#N/A N/A,34.5,112,51.487,6390.7,1474.47,10867.07,10699.97,7329.04
2000-07-27,3.5759,#N/A N/A,33.9063,109.875,50.1052,6387.1,1452.42,10916.07,10516.48,7302.12
2000-07-28,3.7143,#N/A N/A,34.6875,110.3125,50.4657,6352.1,1449.62,10696.23,10586.13,7183.44
2000-07-31,3.4509,#N/A N/A,34.8438,111.8125,48.9637,6335.7,1419.89,10342.98,10511.17,7128.3
2000-08-01,3.6295,#N/A N/A,34.9063,112.25,49.6847,6365.3,1430.83,10406.31,10521.98,7190.37
2000-08-02,3.5223,#N/A N/A,34.3438,110.5,50.706,6379.3,1438.1,10352.86,10606.95,7145.53
2000-08-03,3.375,#N/A N/A,34.6875,114.25,49.9851,6391.3,1438.7,10368.48,10687.53,7112.45
2000-08-04,3.4286,#N/A N/A,35.125,116,50.8262,6317.1,1452.56,10413.68,10706.58,7037.91
2000-08-07,3.3839,#N/A N/A,34.5625,115.875,51.3068,6363.5,1462.93,10413.68,10767.75,7016.59
2000-08-08,3.4241,#N/A N/A,35,116.3125,50.5859,6387.8,1479.32,10567.53,10867.01,7113.22
2000-08-09,3.3393,#N/A N/A,37.0625,118.875,51.6673,6358.1,1482.8,10858.72,10976.89,7123.81
2000-08-10,3.3929,#N/A N/A,37.125,118.75,53.77,6414,1472.87,10863.01,10905.83,7226.71
2000-08-11,3.3973,#N/A N/A,36.3125,119.75,54.7913,6387.3,1460.25,10796.49,10908.76,7280.97
2000-08-14,3.4063,#N/A N/A,36.2188,120.625,54.3708,6384.5,1471.84,10788.79,11027.8,7322.98
2000-08-15,3.3616,#N/A N/A,36.0938,123.25,54.7913,6419.9,1491.56,10999.13,11176.14,7331.67
2000-08-16,3.3348,#N/A N/A,35.8125,122,55.0316,6475.5,1484.43,11032.25,11067,7307.43
2000-08-17,3.4643,#N/A N/A,35.5,122.375,54.6111,6532,1479.85,11031,11008.39,7315.27
2000-08-18,3.6741,#N/A N/A,35.7813,122.5,54.4909,6518.2,1496.07,11098.2,11055.64,7278.43
2000-08-21,3.5714,#N/A N/A,35.5,120.4375,54.0103,6543.7,1491.72,11133.8,11046.48,7232.42
2000-08-22,3.6071,#N/A N/A,35.3125,121.4375,54.3708,6542.2,1499.48,11073.3,11079.81,7199.34
2000-08-23,3.692,#N/A N/A,35.625,121.375,54.0704,6584.8,1498.13,11137.2,11139.15,7249.2
2000-08-24,3.8795,#N/A N/A,35.375,123.25,55.6925,6566.2,1505.97,11107.8,11144.65,7232.78
2000-08-25,4.0078,#N/A N/A,35.5625,124.8125,56.6538,6557,1508.31,11179,11182.74,7230.26
2000-08-28,4.058,#N/A N/A,35.3125,129,56.9541,6557,1506.45,11246,11192.63,7307.17
2000-08-29,4.1473,#N/A N/A,35.6563,131.5,57.6751,6563.7,1514.09,11224.5,11252.84,7339.22
2000-08-30,4.2277,#N/A N/A,35.4688,132.875,57.5549,6586.3,1509.84,11128.4,11215.1,7294.4
2000-08-31,4.25,#N/A N/A,35,130.3125,55.272,6615.1,1502.59,11173.6,11103.01,7185.56
2000-09-01,4.3527,#N/A N/A,34.9063,132.0156,56.3534,6672.7,1517.68,11247.9,11215.1,7216.45
2000-09-04,4.3527,#N/A N/A,34.9063,132.0156,56.3534,6795,1517.68,11247.9,11215.1,7344.67
2000-09-05,4.5313,#N/A N/A,35.0938,133.625,56.2332,6798.1,1520.77,11388.8,11238.78,7445.56
2000-09-06,4.4598,#N/A N/A,35.0625,131.1875,55.5723,6752.5,1507.08,11328.2,11260.61,7395.07
2000-09-07,4.1741,#N/A N/A,34.7188,131.4375,56.7138,6694.7,1492.25,11150.7,11310.64,7333.02
2000-09-08,4.4286,#N/A N/A,35.0313,133.3711,56.7138,6689.2,1502.51,11061.6,11259.87,7373.34
2000-09-11,4.2054,#N/A N/A,34.6563,129.5,57.5549,6600.7,1494.5,10819.8,11220.65,7267.77
2000-09-12,4.1741,#N/A N/A,34.4063,124.5,57.3747,6582,1489.26,10682.1,11195.49,7214.45
2000-09-13,4.125,#N/A N/A,34.0625,125,56.7739,6555.5,1481.99,10557,11233.23,7135.75
2000-09-14,4.1429,#N/A N/A,34.125,127.6875,56.7739,6478.2,1484.91,10749.6,11182.18,7006.26
2000-09-15,4.0614,#N/A N/A,32.9063,126.875,56.7138,6555.5,1480.87,11078.1,11087.47,7048.5
2000-09-18,3.9453,#N/A N/A,32.0938,125,54.551,6417.3,1465.81,11063.6,10927,6999.54
2000-09-19,4.3326,#N/A N/A,31.5,123.25,55.272,6410.2,1444.51,10782,10808.52,6891.69
2000-09-20,4.2813,#N/A N/A,32.5,124.9375,54.7913,6403.5,1459.9,10914.5,10789.29,6937.74
2000-09-21,4.3605,#N/A N/A,32.125,124.75,54.4309,6279.9,1451.34,10813.1,10687.92,6765.23
2000-09-22,4.0491,#N/A N/A,32.0938,121.5,54.0704,6199.2,1449.05,10601,10765.52,6682.92
2000-09-25,3.7277,#N/A N/A,31.625,123.875,55.0917,6205.9,1448.72,10566,10847.37,6740.25
2000-09-26,3.8214,#N/A N/A,30.625,123,55.8127,6257.1,1439.03,10631,10808.15,6788.69
2000-09-27,3.6741,#N/A N/A,31.3438,119.125,55.7526,6213.2,1427.21,10478.6,10631.32,6765.04
2000-09-28,3.4955,#N/A N/A,30.3125,118,57.1344,6269.3,1426.57,10250,10628.36,6814.06
2000-09-29,3.8214,#N/A N/A,30.6563,115.25,56.7138,6264.1,1458.29,10431.9,10824.06,6832.76
2000-10-02,1.8393,#N/A N/A,30.1563,112.625,55.5723,6294.2,1436.51,10377.9,10650.92,6798.12
2000-10-03,1.7321,#N/A N/A,29.5625,117.8125,56.053,6284.5,1436.23,10442.8,10700.13,6798.12
2000-10-04,1.5938,#N/A N/A,28.2813,110.5625,56.7739,6345,1426.46,10456.4,10719.74,6862.26
2000-10-05,1.6875,#N/A N/A,27.7188,114.625,56.5937,6334.9,1434.32,10524.7,10784.48,6823.43
2000-10-06,1.5759,#N/A N/A,27.6875,113.1875,57.4348,6382,1436.28,10701.4,10724.92,6892.49
2000-10-09,1.5848,#N/A N/A,27.7813,116,57.1344,6391.2,1408.99,10701.4,10596.54,6776.39
2000-10-10,1.5536,#N/A N/A,27.0938,117.9375,56.2332,6264.8,1402.03,10432.5,10568.43,6680.78
2000-10-11,1.4911,#N/A N/A,27.2813,114.875,55.8127,6247.7,1387.02,10394.8,10524.4,6673.15
2000-10-12,1.4018,#N/A N/A,27.875,112,54.4309,6117.6,1364.59,10145,10413.79,6561.63
2000-10-13,1.4286,#N/A N/A,27.1875,103.125,52.3882,6131.9,1329.78,10026.9,10034.58,6465.26
2000-10-16,1.5759,#N/A N/A,26.875,109.0625,54.7913,6209.6,1374.17,10320.8,10192.18,6661.3
2000-10-17,1.5357,#N/A N/A,25.1875,111.125,55.5123,6285.7,1374.62,10493,10238.8,6627.25
2000-10-18,1.4375,#N/A N/A,25.2188,113,53.4696,6203.2,1349.97,10132.6,10089.71,6531.71
2000-10-19,1.4375,#N/A N/A,25.875,95.4375,53.3495,6148.2,1342.13,9926.8,9975.02,6483
2000-10-20,1.3527,#N/A N/A,30.9375,96.4375,53.4696,6218.9,1388.76,10231.6,10142.98,6619.43
2000-10-23,1.3929,#N/A N/A,32.5938,94.75,50.2254,6276.3,1396.93,10485.2,10226.59,6618.43
2000-10-24,1.4554,#N/A N/A,31.0625,92.875,47.8223,6315.9,1395.78,10473,10271.72,6620.87
